stage,epoch,global_epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,lr_head,lr_backbone,epoch_seconds,trainable_parameters
head,1,1,1.5596443502694968,0.4798657718120805,1.232494279742241,0.630859375,0.657378896841524,0.629457630742913,0.6299640885773328,0.001,,25.198984417000247,10248
head,2,2,1.0322723340668134,0.7013422818791947,0.9950466006994247,0.70703125,0.7093727673255537,0.7070961632453568,0.70510137154323,0.001,,23.301215894999586,10248
head,3,3,0.8140641570891309,0.7831375838926175,0.8580892384052277,0.7421875,0.7474766949199527,0.7423807123655914,0.742575196435258,0.001,,21.759246358999917,10248
head,4,4,0.6980535407994417,0.8141778523489933,0.7713045850396156,0.767578125,0.7767170733982013,0.7672978525171066,0.7688586964512095,0.001,,21.803902859000118,10248
head,5,5,0.6150864658739743,0.847734899328859,0.708533875644207,0.783203125,0.7885730860341159,0.7835189088465297,0.7835031641147678,0.001,,23.651941183000417,10248
partial,1,6,0.8200083811011091,0.790268456375839,0.7719578295946121,0.8125,0.818581539566206,0.8129058987047898,0.8118340168873663,0.0003,3e-05,25.24653820200001,3165988
partial,2,7,0.57481165420289,0.8737416107382551,0.6258872784674168,0.833984375,0.8383456514193501,0.8343543804985337,0.8334326922525759,0.0003,3e-05,21.993310270999245,3165988
partial,3,8,0.44401687663673556,0.9010067114093959,0.5224811881780624,0.865234375,0.8679183314609266,0.8661240683040078,0.8647759841616892,0.0003,3e-05,23.024104063000777,3165988
partial,4,9,0.3403336307746452,0.9286912751677853,0.4555319547653198,0.865234375,0.8688625120862695,0.8662462579423265,0.8648828173498138,0.0003,3e-05,23.896220753000307,3165988
partial,5,10,0.2644441049771021,0.949244966442953,0.3935483321547508,0.8828125,0.8849242740506701,0.8837766526148583,0.8828437400868167,0.0003,3e-05,25.032410917998277,3165988
partial,6,11,0.21788262540862063,0.9546979865771812,0.3599150162190199,0.88671875,0.8899387864427927,0.8875053457966765,0.8867075315925296,0.0003,3e-05,25.532991584999763,3165988
partial,7,12,0.18307032361126585,0.9660234899328859,0.3262360021471977,0.89453125,0.8980509605089482,0.8953926869501466,0.8948130349537581,0.0003,3e-05,25.470854113000314,3165988
partial,8,13,0.15082891385427258,0.9744127516778524,0.3089796733111143,0.904296875,0.9068638647318575,0.9052251344086022,0.9041404749402264,0.0003,3e-05,25.52029849599967,3165988
partial,9,14,0.12291484441133153,0.9781879194630873,0.2872572038322687,0.908203125,0.9119556866411407,0.909013013196481,0.9085529061470736,0.0003,3e-05,24.27189756700136,3165988
partial,10,15,0.11234224822697224,0.9807046979865772,0.26622987911105156,0.91796875,0.9206757820734736,0.9185418957722385,0.9181671077138084,0.0003,3e-05,23.23066794999977,3165988
full,1,16,0.27998601550223845,0.9215604026845637,0.4116943906992674,0.873046875,0.8792835739074376,0.8747449291300098,0.8714095297116232,0.0003,1e-05,28.088015719000396,4017796
full,2,17,0.21048304838622175,0.9425335570469798,0.39764601178467274,0.875,0.8822826186751331,0.8762638990713587,0.8744772819152792,0.0003,1e-05,22.809097756000483,4017796
full,3,18,0.19649022257568052,0.9496644295302014,0.3668612316250801,0.88671875,0.891240743657571,0.8883179068914956,0.885850955638356,0.0003,1e-05,25.553143184000874,4017796
full,4,19,0.16282290420276208,0.9605704697986577,0.372428297996521,0.876953125,0.8823675728180095,0.8781028531280548,0.8759482440815489,0.0003,1e-05,25.40572774500106,4017796
full,5,20,0.1368205794352013,0.9660234899328859,0.33549067191779613,0.892578125,0.8970696812378798,0.8941891190127077,0.8921672978290511,0.0003,1e-05,23.70860799000002,4017796
full,6,21,0.12872503767877616,0.9681208053691275,0.341280872002244,0.890625,0.8952602952602953,0.8921729899804497,0.8899883736103225,0.0003,1e-05,25.403486388999227,4017796
full,7,22,0.11186586600422059,0.9748322147651006,0.3574989279732108,0.884765625,0.8911021861181436,0.8861246028836754,0.883430020593799,0.0003,1e-05,23.906391266000355,4017796
full,8,23,0.10379364706525866,0.972734899328859,0.34910985827445984,0.890625,0.8970461806448052,0.8919835960410557,0.8902083762869673,0.0003,1e-05,24.38321743799861,4017796
full,9,24,0.09912619119722571,0.9760906040268457,0.31673877593129873,0.8984375,0.9022153772153771,0.8997487475562073,0.8980334314541305,0.0003,1e-05,25.01721819500017,4017796
full,10,25,0.08658244515825438,0.9836409395973155,0.31163374055176973,0.8984375,0.9034754187444061,0.8997487475562073,0.8982393197599384,0.0003,1e-05,27.47054360599941,4017796
full,11,26,0.08080251664923341,0.9844798657718121,0.32046453561633825,0.900390625,0.9072820568153898,0.9016426869501466,0.9005474137867735,0.0003,1e-05,26.796299538000312,4017796
full,12,27,0.06899001339337969,0.9844798657718121,0.3234990928322077,0.890625,0.8943979630326354,0.8919286107038124,0.8895929805473979,0.0003,1e-05,26.21049764700001,4017796
full,13,28,0.07466218610537932,0.9848993288590604,0.31142085418105125,0.896484375,0.9000286739909555,0.8973660496089931,0.895434410658523,0.0003,1e-05,25.42661730800137,4017796
full,14,29,0.061896763691966165,0.9886744966442953,0.3208772661164403,0.89453125,0.902578178956466,0.8955942998533725,0.8943678540578385,0.0003,1e-05,25.996313684001507,4017796
full,15,30,0.05761095721449628,0.989513422818792,0.2985719796270132,0.904296875,0.9089805558070883,0.9053083760997067,0.9040505021379067,0.0003,1e-05,25.962327007000567,4017796
